custid,retained,created,firstorder,lastorder,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,city_BOM,city_DEL,city_MAA,city_BLR,favday_Monday,favday_Tuesday,favday_Friday,favday_Thursday,favday_Wednesday,favday_Saturday,favday_Sunday,created_year,created_month,firstorder_year,firstorder_month,lastorder_year,lastorder_month
6H6T6N,0,2012-09-28,2013-08-11,2013-08-11,29,100.0,3.448275862,14.52,0.0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,8,2013,7,2013,7
APCENR,1,2010-12-19,2011-04-01,2014-01-19,95,92.63157895,10.52631579,83.69,0.181640625,1,1,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2010,11,2011,3,2014,0
7UP6MS,0,2010-10-03,2010-12-01,2011-07-06,0,0.0,0.0,33.58,0.059907834,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,9,2010,11,2011,6
7ZEW8G,0,2010-10-22,2011-03-28,2011-03-28,0,0.0,0.0,54.96,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2010,9,2011,2,2011,2
8V726M,1,2010-11-27,2010-11-29,2013-01-28,30,90.0,13.33333333,111.91,0.008849558,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,10,2010,10,2013,0
2B6B83,1,2008-11-17,2010-10-12,2014-01-14,46,80.43478261,15.2173913,175.1,0.141176471,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2008,10,2010,9,2014,0
99XGVM,1,2011-01-24,2011-05-16,2014-01-16,60,43.33333333,6.666666667,116.55,0.125,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011,0,2011,4,2014,0
U3MP5L,1,2009-12-04,2011-09-21,2014-01-16,64,28.125,15.625,68.1,0.04009434,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2009,11,2011,8,2014,0
ELKAGQ,1,2010-09-18,2010-11-09,2010-11-09,45,0.0,0.0,46.6,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010,8,2010,10,2010,10
3SBQP2,1,2010-12-29,2011-02-20,2013-12-10,34,94.11764706,8.823529412,66.07,0.133789063,1,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,11,2011,1,2013,11
